Replicate,Site,Human_disturbance,Access,Latitude,Longitude,Date,Month,Average_depth,Caves_distance,Quarry_distance,Closest_entrance,Octopus_abundance,Total_den_abundance,Sponge_abundance,Hole_abundance ,Vegetation_abundance,Gastropod_shell_abundance,LC_cover,S_Cover,CR_cover,R_cover,SR_cover,F_cover,CP_cover,HY_cover,CS_cover,PT_cover,MO_cover,PO_cover,SP_cover,PS_cover,ET_cover,M_cover
CVArray,Caves,Disturbed,Public,25.363997,-76.518810,18/6/19,June,2.35,67.86160,1574.07575,67.86160,0,16,0,1,11,1,75.2066116,1.23966942,0,0,0.41322314,22.7272727,0,0.41322314,0,0,0,0,0,0,0,0
CV1,Caves,Disturbed,Public,25.364190,-76.518818,18/5/19,May,1.4,46.47279,1583.32169,46.47279,0,48,0,5,43,0,33.8842975,1.23966942,6.61157025,2.89256198,0,55.3719008,0,0,0,0,0,0,0,0,0,0
CV2,Caves,Disturbed,Public,25.363398,-76.518517,20/5/19,May,2.85,137.66410,1521.72287,137.66410,0,8,2,1,3,2,0,0,0.41322314,0,0,97.5206612,0,0,0,0,0,0,0,0,2.0661157,0
CV3,Caves,Disturbed,Public,25.364001,-76.518520,20/5/19,May,2.275,73.92658,1547.44592,73.92658,0,27,2,0,21,3,26.0330579,3.71900826,14.8760331,0,0,54.9586777,0.41322314,0,0,0,0,0,0,0,0,0
CV4,Caves,Disturbed,Public,25.365182,-76.516121,24/6/19,June,3.35,279.11158,1395.19636,279.11158,0,23,8,6,8,1,85.1239669,1.23966942,7.85123967,0,0,5.37190083,0,0,0,0,0,0,0.41322314,0,0,0
CV5,Caves,Disturbed,Public,25.364899,-76.516121,24/6/19,June,6.125,273.69650,1378.62505,273.69650,4,16,7,0,9,4,6.61157025,8.26446281,33.8842975,0,0,44.214876,0,0,0,0,0.41322314,6.61157025,0,0,0,0
CT1,Control,Not Disturbed ,None,25.361120,-76.514699,19/6/19,June,9.35,567.10319,1076.41824,567.10319,4,0,21,0,1,3,0,14.8760331,79.7520661,0,0,0,0,0,0,0.41322314,1.23966942,1.65289256,2.0661157,0,0,0
CT2,Control,Not Disturbed ,None,25.36079,-76.51502,19/6/19,June,7.65,570.47064,1098.19557,570.47064,2,0,9,0,3,1,0,18.1818182,78.0991736,0,0,0,0,0,0,0,2.0661157,0.82644628,0,0,0.82644628,0
CT3,Control,Not Disturbed ,None,25.36051,-76.51473,15/6/19,June,7.675,613.05552,1062.69568,613.05552,1,0,0,0,9,1,2.89256198,38.4297521,53.3057851,0,0,0,0,0,0,0,2.0661157,2.47933884,0,0,0.82644628,0
CT4,Control,Not Disturbed ,None,25.360518,-76.514097,15/6/19,June,9.05,656.93897,1000.80981,656.93897,0,0,11,0,0,0,0.41322314,46.2809917,46.2809917,0,0,3.71900826,0,0,0,0.41322314,0,1.23966942,0.41322314,0,1.23966942,0
CT5,Control,Not Disturbed ,None,25.35950,-76.51352,14/6/19,June,7.625,777.89718,923.18882,777.89718,1,10,10,0,0,1,0,7.85123967,80.1652893,0,0,0,0,0,0,0,5.37190083,2.47933884,0,0,4.1322314,0
GC1,Grouper Cave,Not Disturbed ,None,25.35699,-76.50998,22/5/19,May,5.7,1226.55670,581.20195,581.20195,0,43,36,5,0,2,0.41322314,0,56.1983471,0,0,25.6198347,0,0.41322314,0,1.65289256,8.67768595,6.19834711,0.82644628,0,0,0
GC2,Grouper Cave,Not Disturbed ,None,25.356982,-76.509381,23/5/19,May,7.05,1271.56739,523.72753,523.72753,3,20,20,0,0,3,0.41322314,2.89256198,64.4628099,0,0,18.1818182,0,0,0,0,8.67768595,2.47933884,0.41322314,0,2.47933884,0
GC3,Grouper Cave,Not Disturbed ,None,25.35608,-76.50907,20/6/19,June,4.8,1362.42631,534.70695,534.70695,0,41,37,1,0,3,0,28.5123967,52.892562,0.82644628,0,0,0,1.65289256,0,0,7.43801653,3.30578512,0,0,0,5.37190082644628
GC4,Grouper Cave,Not Disturbed ,None,25.356084,-76.508478,25/5/19,May,8.325,1405.66413,483.23265,483.23265,0,5,3,0,0,2,0,0,69.0082645,0,0,27.2727273,0,0,0,0.41322314,0.41322314,2.0661157,0.41322314,0,0.41322314,0
GC5,Grouper Cave,Not Disturbed ,None,25.35639,-76.50938,22/5/19,May,4.2,1316.13315,547.19235,547.19235,2,40,31,9,0,1,0.41322314,1.23966942,43.3884298,0.41322314,0,21.0743802,0,0,0,0,23.9669421,6.61157025,2.47933884,0.41322314,0,0
OD1,Octopus Den,Disturbed,None,25.362570,-76.50791,22/6/19,June,6.35,1121.25736,578.05639,578.05639,0,21,9,10,0,2,0,7.85123967,35.1239669,0.82644628,0,21.9008264,0,30.1652893,0,0,0,0.41322314,0,0,3.30578512,0.41322314
OD2,Octopus Den,Disturbed,None,25.363519,-76.510848,9/6/19,June,2.475,811.58432,858.31769,811.58432,0,25,5,5,14,1,64.0495868,2.47933884,7.43801653,0,0,18.5950413,0,0,5.78512397,0,0,0.41322314,0.82644628,0,0.41322314,0
OD3,Octopus Den,Disturbed,None,25.36311,-76.51041,12/6/19,June,8.375,862.77161,795.32582,795.32582,0,15,0,0,15,0,0,11.1570248,14.8760331,0,0,0.41322314,0,8.67768595,64.8760331,0,0,0,0,0,0,0
OD4,Octopus Den,Disturbed,None,25.36385,-76.50965,4/6/19,June,3.225,926.94763,798.80600,798.80600,0,58,3,0,54,1,68.5950413,2.47933884,11.1570248,0,0,17.3553719,0,0,0,0.41322314,0,0,0,0,0,0
OD5,Octopus Den,Disturbed,None,25.36287,-76.50876,22/6/19,June,8.95,1030.87483,658.12733,658.12733,0,20,1,0,19,0,0,6.61157025,13.6363636,0,0,16.1157025,0,62.3966942,0,0,0,0,0,0,1.23966942,0
QArray,Quarry,Disturbed,None,25.357927,-76.505006,17/5/19,May,1.8,1575.34434,80.17707,80.17707,0,19,8,0,5,1,0,0,2.47933884,0,0,92.5619835,0,0,2.89256198,0.41322314,0,1.65289256,0,0,0,0
Q1,Quarry,Disturbed,Public,25.358658,-76.505717,17/5/19,May,1.9,1474.60298,132.62343,132.62343,0,9,1,4,2,1,0,0,2.89256198,0,0,86.7768595,0,0,4.54545455,0.82644628,0,4.1322314,0.41322314,0.41322314,0,0
Q2,Quarry,Disturbed,Public,25.359306,-76.505768,10/6/19,June,3.15,1439.24565,166.88869,166.88869,0,26,17,0,7,1,1.23966942,6.61157025,4.95867769,0,0,83.8842975,0,0,1.23966942,0.41322314,0,0,1.65289256,0,0,0
Q3,Quarry,Disturbed,Public,25.3578,-76.50587,26/5/19,May,3.45,1506.13462,160.94035,160.94035,0,5,0,0,0,5,0,1.65289256,3.30578512,2.47933884,0,85.1239669,0,0,5.78512397,0.82644628,0,0.41322314,0.41322314,0,0,0
Q4,Quarry,Disturbed,Public,25.358098,-76.505753,6/6/19,June,2.925,1500.18822,138.39579,138.39579,0,20,5,1,10,4,0,1.65289256,7.43801653,0,0,88.4297521,0,0,0.82644628,0,0,0.82644628,0.82644628,0,0,0
Q5,Quarry,Disturbed,Public,25.35722,-76.50517,20/6/19,June,1.7,1599.42982,152.83876,152.83876,0,12,9,1,0,2,0,4.95867769,7.85123967,0,1.65289256,78.0991736,0,0,0,0,0.41322314,0.82644628,0.82644628,0,0,5.37190083
