Replicate,Period,Unit_ref,Set_date,Month,Site,Latitude,Longitude,Depth,Time_in,Time_out,Caves_distance,Quarry_distance,MaxN_species,Harengula_clupeola,Eucinostomus_gula,Strongylura_notata,Haemulon_plumierii,Atherinomorus_stipes,Maguimithrax _spinosissimus,Octopus_briareus,Hippocampus_erectus,Fasciolaraia_tulipa,Chilomycterus_antennatus,Total_fish_abundance,LC_cover,CR_cover,F_cover,HY_cover,CS_cover,MO_cover,ET_cover
1,Nocturnal,Quarry_A,05/06/2019,June,Quarry,25.357280,-76.505810,3.1,00:02,09:51,1543.494,186.037,3,89,1,2,0,0,2,0,0,1,0,95,0,56,20,0,0,20,4
1,Nocturnal,Grouper_A,10/06/2019,June,Grouper Cave,25.356356,-76.508795,7.4,23:57,13:36,1361.786,495.845,2,9,0,0,0,0,1,0,0,0,0,10,0,0,0,0,100,0,0
1,Nocturnal,Octopus_A,15/06/2019,June,Emmas,25.363312,-76.510685,2.5,23:15,08:22,831.468,830.902,2,0,0,0,0,1,2,0,0,0,0,3,0,80,20,0,0,0,0
1,Nocturnal,Octopus_B,15/06/2019,June,Emmas,25.363141,-76.509344,4.3,23:28,08:31,967.695,719.976,2,3,1,0,0,0,3,0,0,0,0,7,0,32,68,0,0,0,0
1,Nocturnal,Octopus_C,15/06/2019,June,Emmas,25.362376,-76.507433,3.9,23:34,08:45,1172.670,532.434,2,22,0,0,0,2,1,0,0,0,0,25,0,20,76,0,0,0,0
2,Nocturnal,Quarry_High,10/06/2019,June,Quarry,25.358270,-76.504640,0.8,23:46,18:24,1590.818,27.426,2,1,1,1,0,2,1,0,0,0,0,6,0,68,32,0,0,0,0
2,Nocturnal,Grouper_High,12/06/2019,June,Grouper Cave,25.355620,-76.508110,3.5,23:33,13:29,1467.695,483.669,1,0,1,0,0,0,0,0,0,0,0,1,0,0,76,0,0,24,0
2,Nocturnal,Octopus_A,21/06/2019,June,Emmas,25.362680,-76.507850,3.1,00:04,10:14,1124.794,584.205,3,6,2,0,0,0,2,0,0,0,0,10,0,0,0,0,100,0,0
2,Nocturnal,Octopus_C,21/06/2019,June,Emmas,25.363075,-76.510342,7.0,23:40,09:51,870.238,787.612,1,24,0,0,0,0,0,0,0,0,0,24,0,0,100,0,0,0,0
3,Nocturnal,Quarry_A,18/06/2019,June,Quarry,25.357780,-76.506080,2.3,23:46,14:36,1489.002,181.127,2,13,1,1,0,0,0,0,0,0,0,15,0,0,72,0,28,0,0
