Replicate,Site,Latitude,Longitude,Date,Depth,Soak_time,Den_number,Caves_distance,Quarry_distance,Octopus_abundance,Octopus_presence,prop_struc_colonised,LC_cover,S_cover,CR_cover,F_cover,HY_cover,CS_cover,MO_cover,PO_cover,ET_cover,Identifier
GC1,Grouper Cave,25.357090,-76.509463,5/6/19,8.6,5732,1,1507.07818,397.35145,1,1,1.0,0,36,52,0,0,0,0,0,12,A1
GC1,Grouper Cave,25.355944,-76.507279,5/6/19,4.9,5744,2,1257.45391,528.12710,0,0,0,0,24,60,12,0,0,4,0,0,B1
GC1,Grouper Cave,25.355944,-76.507279,5/6/19,4.9,5744,2,1257.45391,528.12710,0,0,0,0,24,60,12,0,0,4,0,0,B1
GC1,Grouper Cave,25.357323,-76.510122,5/6/19,2.3,5736,3,1223.66479,576.43141,0,0,0,0,16,84,0,0,0,0,0,0,C1
GC1,Grouper Cave,25.357323,-76.510122,5/6/19,2.3,5736,3,1223.66479,576.43141,0,0,0,0,16,84,0,0,0,0,0,0,C1
GC1,Grouper Cave,25.357323,-76.510122,5/6/19,2.3,5736,3,1223.66479,576.43141,0,0,0,0,16,84,0,0,0,0,0,0,C1
GC1,Grouper Cave,25.357056,-76.509951,5/6/19,3.4,5723,4,1190.92012,586.20556,0,0,0,0,40,48,0,0,0,12,0,0,D1
GC1,Grouper Cave,25.357056,-76.509951,5/6/19,3.4,5723,4,1190.92012,586.20556,0,0,0,0,40,48,0,0,0,12,0,0,D1
GC1,Grouper Cave,25.357056,-76.509951,5/6/19,3.4,5723,4,1190.92012,586.20556,0,0,0,0,40,48,0,0,0,12,0,0,D1
GC1,Grouper Cave,25.357056,-76.509951,5/6/19,3.4,5723,4,1190.92012,586.20556,0,0,0,0,40,48,0,0,0,12,0,0,D1
GC2,Grouper Cave,25.357125,-76.509778,13/6/19,5.0,5757,1,1231.26731,557.62882,1,1,1.0,0,40,32,4,0,0,24,0,0,E1
GC2,Grouper Cave,25.355522,-76.507922,13/6/19,2.9,5712,2,1396.77219,543.75975,0,0,0,0,0,56,28,0,0,12,4,0,F1
GC2,Grouper Cave,25.355522,-76.507922,13/6/19,2.9,5712,2,1396.77219,543.75975,0,0,0,0,0,56,28,0,0,12,4,0,F1
GC2,Grouper Cave,25.355745,-76.508953,13/6/19,2.6,5730,3,1488.96969,476.56591,0,0,0,0,0,88,12,0,0,0,0,0,G1
GC2,Grouper Cave,25.355745,-76.508953,13/6/19,2.6,5730,3,1488.96969,476.56591,0,0,0,0,0,88,12,0,0,0,0,0,G1
GC2,Grouper Cave,25.355745,-76.508953,13/6/19,2.6,5730,3,1488.96969,476.56591,0,0,0,0,0,88,12,0,0,0,0,0,G1
GC2,Grouper Cave,25.356049,-76.507416,13/6/19,7.9,5688,4,1489.03854,399.68637,1,1,0.25,0,36,60,0,0,0,0,0,4,H1
GC2,Grouper Cave,25.356049,-76.507416,13/6/19,7.9,5688,4,1489.03854,399.68637,0,0,0.25,0,36,60,0,0,0,0,0,4,H1
GC2,Grouper Cave,25.356049,-76.507416,13/6/19,7.9,5688,4,1489.03854,399.68637,0,0,0.25,0,36,60,0,0,0,0,0,4,H1
GC2,Grouper Cave,25.356049,-76.507416,13/6/19,7.9,5688,4,1489.03854,399.68637,0,0,0.25,0,36,60,0,0,0,0,0,4,H1
GC3,Grouper Cave,25.35612,-76.50976,21/6/19,1.2,5723,1,1465.53182,453.40663,0,0,0,0,0,32,68,0,0,0,0,0,I1
GC3,Grouper Cave,25.35584,-76.50792,21/6/19,6.5,5702,2,1381.98114,495.41266,1,1,0.5,0,20,76,0,0,0,0,4,0,J1
GC3,Grouper Cave,25.35584,-76.50792,21/6/19,6.5,5702,2,1381.98114,495.41266,0,0,0.5,0,20,76,0,0,0,0,4,0,J1
GC3,Grouper Cave,25.35619,-76.50869,21/6/19,7.7,5702,3,1331.41373,523.85248,0,0,0,0,12,76,0,0,0,8,0,4,K1
GC3,Grouper Cave,25.35619,-76.50869,21/6/19,7.7,5702,3,1331.41373,523.85248,0,0,0,0,12,76,0,0,0,8,0,4,K1
GC3,Grouper Cave,25.35619,-76.50869,21/6/19,7.7,5702,3,1331.41373,523.85248,0,0,0,0,12,76,0,0,0,8,0,4,K1
GC3,Grouper Cave,25.35642,-76.50914,21/6/19,4.5,5742,4,1310.09080,594.47261,0,0,0,0,8,20,32,0,0,32,8,0,L1
GC3,Grouper Cave,25.35642,-76.50914,21/6/19,4.5,5742,4,1310.09080,594.47261,0,0,0,0,8,20,32,0,0,32,8,0,L1
GC3,Grouper Cave,25.35642,-76.50914,21/6/19,4.5,5742,4,1310.09080,594.47261,0,0,0,0,8,20,32,0,0,32,8,0,L1
GC3,Grouper Cave,25.35642,-76.50914,21/6/19,4.5,5742,4,1310.09080,594.47261,0,0,0,0,8,20,32,0,0,32,8,0,L1
GC4,Grouper Cave,25.35659,-76.50964,29/6/19,3.6,5674,1,1610.18887,417.38122,1,1,1.0,0,0,24,40,0,0,28,8,0,M1
GC4,Grouper Cave,25.35522,-76.50661,29/6/19,1.4,5623,2,1497.68787,441.59539,0,0,0,0,0,0,100,0,0,0,0,0,N1
GC4,Grouper Cave,25.35522,-76.50661,29/6/19,1.4,5623,2,1497.68787,441.59539,0,0,0,0,0,0,100,0,0,0,0,0,N1
GC4,Grouper Cave,25.35570,-76.50763,29/6/19,2.9,5631,3,1281.91014,562.78150,0,0,0,0,4,52,0,0,0,28,12,4,O1
